WEST BENGAL,134,110,319,5
UTTARAKHAND,35,30,5,0
UTTAR PRADESH,452,402,45,5
TRIPURA,2,2,0,0
TELANGANA,503,393,96,14
TAMIL NADU,969,915,44,10
RAJASTHAN,700,575,116,9
PUNJAB,158,126,20,12
PUDUCHERRY,7,6,1,0
ODISHA,54,41,12,1
MIZORAM,1,1,0,0
MANIPUR,2,1,1,0
MAHARASHTRA,1895,1560,208,127
MADHYA PRADESH,529,451,38,40
LADAKH,15,4,11,0
KERALA,373,228,143,2
KARNATAKA,226,173,847,6
JHARKHAND,17,16,0,1
JAMMU AND KASHMIR,224,214,6,4
HIMACHAL PRADESH,32,22,8,2
HARYANA,179,141,36,2
GUJARAT,468,401,44,123
GOA,7,2,5,0
DELHI,1069,1023,27,19
DADRA AND NAGAR HAVELI,1,1,0,0
CHHATTISGARH,25,16,9,0
CHANDIGARH,19,12,7,0
BIHAR,64,48,15,1
ASSAM,29,28,0,1
ARUNACHAL PRADESH,1,1,0,0
ANDHRA PRADESH,405,389,10,6
ANDAMAN AND NICOBAR ISLANDS,11,1,10,0
